2021-12-29 00:12:321 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-29 00:12:717 INFO  HomePage :23 - Clicking on start button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> css selector: #jfCard-welcome-start]
2021-12-29 00:12:836 INFO  PersonalDetailsPage :31 - Entering first name [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> id: first_2]
2021-12-29 00:12:150 INFO  PersonalDetailsPage :33 - Entering last name [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> id: last_2]
2021-12-29 00:12:371 INFO  PersonalDetailsPage :36 - clicking on next button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: (//button[contains(@class,'jfInput-button forNext')])[1]]
2021-12-29 00:12:474 INFO  UploadFilePage :36 - Clicking on Brwose File button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //label[contains(text(),'Browse Files')]]
2021-12-29 00:12:782 INFO  UploadFilePage :61 - Clicking on next button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: (//button[contains(@class,'jfInput-button forNext')])[2]]
2021-12-29 00:12:981 INFO  SignaturePage :32 - Clicking into canvas to draw signature [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> tag name: canvas]
2021-12-29 00:12:398 INFO  SignaturePage :48 - Clicking on next button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: (//button[contains(@class,'jfInput-button forNext')])[3]]
2021-12-29 00:12:506 INFO  CalanderPage :40 - Clicking on Calander Icon [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //span[@aria-label='Calendar icon']//*[name()='svg']]
2021-12-29 00:12:745 INFO  CalanderPage :43 - Selecting Date [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //td[normalize-space()='31']]
2021-12-29 00:12:345 INFO  CalanderPage :46 - Clicking on next button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> css selector: div[data-type='control_datetime'] button[aria-label='Next']]
2021-12-29 00:12:442 INFO  SecurityQuestions :35 - Clicking on dropdown [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //div[@class='jfDropdown-chipContainer']]
2021-12-29 00:12:552 INFO  SecurityQuestions :38 - Selecting Favourite school [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //li[contains(text(),'Favourite School')]]
2021-12-29 00:12:720 INFO  SecurityQuestions :40 - Entering answer for Security question [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> id: input_6_field_2]
2021-12-29 00:12:845 INFO  SecurityQuestions :44 - Clicking on next button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //div[@data-type='control_mixed']//button[@aria-label='Next'][normalize-space()='Next']]
2021-12-29 00:12:955 INFO  UploadImagePage :24 - Clicking on Submit button [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //button[@class='jfInput-button forSubmit form-submit-button u-right']]
2021-12-29 00:12:518 INFO  SubmissionPage :27 - Verifying 'Thank You!' message [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //h1[contains(text(),'Thank You!')]]
2021-12-29 00:12:564 INFO  SubmissionPage :29 - Verifying form submission message [[ChromeDriver: chrome on WINDOWS (c5b11905ed0d53d87a17ab2b58ae4198)] -> xpath: //div[contains(text(),'Your submission has been received!')]]
